date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2023-06-21,Bull,0.6643526554107666,1,0,0.0,0.0037039303873345254,0.0037039303873345254,1.0167366213345022,1.7306453700023503
2023-06-22,Bull,0.6718217730522156,1,0,0.0,-0.007688288056502158,-0.007688288056502158,1.0089496299856162,1.7173906880705543
2023-06-23,Low Volatility,0.3978005647659302,0,1,0.0007,-0.004496934363132171,-0.0007,1.0082436123796175,1.7096850337668372
2023-06-26,Bull,0.7137144804000854,1,1,0.0007,0.01139073352418076,0.01069073352418076,1.0190802990197794,1.7292709375318795
2023-06-27,Bull,0.6526163816452026,1,0,0.0,-0.0003541393883898215,-0.0003541393883898215,1.0187194664422499,1.7286586430049058
2023-06-28,Bull,0.5862168073654175,1,0,0.0,0.00446356811449,0.00446356811449,1.0232767534844363,1.7363918746684202
2023-06-29,Bull,0.5412567853927612,1,0,0.0,0.0121943502618858,0.0121943502618858,1.0358313405732964,1.7576956743850485
2023-06-30,Bull,0.42797350883483887,0,1,0.0007,0.0011699930926736418,-0.0007,1.035106512354369,1.759753369693021
2023-07-03,Bull,0.643598198890686,1,1,0.0007,-0.0019702580976127164,-0.0026702580976127165,1.0323461978241268,1.756289614732712
2023-07-05,Bull,0.7038848400115967,1,0,0.0,-0.007954061175894762,-0.007954061175894762,1.0241674233686717,1.7423753903498134
2023-07-06,Bull,0.5246700644493103,1,0,0.0,-0.002869212795733482,-0.002869212795733482,1.0212330807323406,1.7373833096804432
2023-07-07,Bull,0.867354691028595,1,0,0.0,0.002402138610626312,0.002402138610626312,1.0236891729019064,1.7415617618114498
2023-07-10,Bull,0.7499518394470215,1,0,0.0,0.006719583998254874,0.006719583998254874,1.0305911013612392,1.7533037387764479
2023-07-11,Bull,0.7472032904624939,1,0,0.0,0.007383905235389679,0.007383905235389679,1.0382290526413125,1.7662978821551913
2023-07-12,Bull,0.6398959159851074,1,0,0.0,0.008434482989627111,0.008434482989627111,1.0470230120418103,1.7812586962697083
2023-07-13,Bull,0.4687362611293793,0,1,0.0007,-0.001024932196907484,-0.0007,1.0462903523941747,1.7794339621549906
2023-07-14,Bull,0.675960123538971,1,1,0.0007,0.0038479695744204137,0.0031479695744204136,1.0495892322519866,1.7862943607384787
2023-07-17,Bull,0.4935725927352905,0,1,0.0007,0.007092066941428338,-0.0007,1.048854776878781,1.7990079093024989
2023-07-18,Bull,0.4970993995666504,0,0,0.0,0.002355134827233639,0.0,1.048854776878781,1.8032498086459068
2023-07-19,Bull,0.37349119782447815,0,0,0.0,-0.006779827396257691,-0.0,1.048854776878781,1.7910654368321284
2023-07-20,Bull,0.5430410504341125,1,1,0.0007,0.0003240420146130911,-0.0003759579853869089,1.048460525665492,1.7916459113285668
2023-07-21,Bull,0.49095210433006287,0,1,0.0007,0.004026038496874852,-0.0007,1.0477268601104286,1.7988736866282393
